State,Total_Population,White,White_per,Black,Black_per,Native_American_or_Alaskan_Native,Native_American_or_Alaskan_Native_per,Asian,Asian_per,Pacific_Islander,Pacific_Islander_per,Other,Other_per,Mixed,Mixed_per,Latinx,Latinx_per
NY,"20,201,249","10,598,907",0.5246999999999999,"2,759,022",0.1366,"54,908",0.0027,"1,916,329",0.0949,"6,097",0.0003,"197,107",0.0098,"720,847",0.035699999999999996,"3,948,032",0.1954
NC,"10,439,388","6,312,148",0.6046,"2,107,526",0.20190000000000002,"100,886",0.0097,"340,059",0.0326,"6,980",0.0007000000000000001,"46,340",0.0044,"406,853",0.039,"1,118,596",0.1072
ND,"779,094","636,160",0.8165,"26,152",0.0336,"37,350",0.0479,"13,050",0.0168,869,0.0011,"1,853",0.0024,"30,248",0.0388,"33,412",0.0429
OH,"11,799,448","8,954,135",0.7589,"1,457,180",0.1235,"18,949",0.0016,"296,604",0.025099999999999997,"4,493",0.0004,"45,217",0.0038,"501,562",0.0425,"521,308",0.044199999999999996
OK,"3,959,353","2,407,188",0.608,"283,242",0.07150000000000001,"311,890",0.0788,"89,653",0.0226,"8,168",0.0021,"13,602",0.0034000000000000002,"373,679",0.0944,"471,931",0.1192
OR,"4,327,256","3,036,158",0.7165,"78,658",0.018600000000000002,"42,042",0.009899999999999999,"191,797",0.0453,"18,197",0.0043,"22,962",0.0054,"258,685",0.0611,"588,757",0.1389
PA,"13,002,700","9,553,417",0.7347,"1,368,978",0.10529999999999999,"15,028",0.0012,"506,674",0.039,"3,162",0.0002,"54,541",0.0042,"451,285",0.0347,"1,049,615",0.08070000000000001
RI,"1,097,379","754,050",0.6870999999999999,"55,386",0.050499999999999996,"3,513",0.0032,"38,367",0.035,320,0.0003,"11,392",0.0104,"52,250",0.047599999999999996,"182,101",0.1659
SC,"5,118,425","3,178,552",0.621,"1,269,031",0.24789999999999998,"16,591",0.0032,"89,394",0.0175,"3,085",0.0006,"19,354",0.0038,"189,580",0.037000000000000005,"352,838",0.0689
SD,"886,667","705,583",0.7958,"17,441",0.0197,"74,595",0.08410000000000001,"13,332",0.015,493,0.0006,"2,050",0.0023,"34,432",0.0388,"38,741",0.0437
TN,"6,910,246","4,900,246",0.7091,"1,083,772",0.1568,"15,539",0.0022,"134,302",0.0194,"3,594",0.0005,"23,977",0.0034999999999999996,"270,223",0.0391,"479,187",0.0693
