Date,State,Cases_Total,Cases_White,Cases_Black,Cases_Latinx,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Ethnicity_Hispanic,Cases_Ethnicity_NonHispanic,Cases_Ethnicity_Unknown,Deaths_Total,Deaths_White,Deaths_Black,Deaths_Latinx,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown
2020-08-05,DC,12443.0,2479.0,6162.0,,187.0,29.0,32.0,,3268.0,286.0,3236.0,7486.0,1721.0,587.0,62.0,434.0,77.0,8.0,,,,6.0,0.0,77.0,510.0,0.0
2020-05-31,DC,8801.0,1346.0,4097.0,,106.0,26.0,22.0,,2232.0,972.0,2328.0,4927.0,1546.0,466.0,52.0,349.0,54.0,7.0,,,,4.0,0.0,54.0,412.0,0.0
2020-07-19,DC,11261.0,2308.0,5550.0,,175.0,27.0,30.0,,2882.0,289.0,3096.0,6740.0,1425.0,578.0,62.0,426.0,76.0,8.0,,,,6.0,0.0,76.0,502.0,0.0
2020-09-09,DC,14387.0,3102.0,7411.0,,221.0,37.0,38.0,,3508.0,70.0,3724.0,9409.0,1254.0,615.0,66.0,458.0,77.0,8.0,,,,6.0,0.0,77.0,538.0,0.0
2020-04-19,DC,2793.0,548.0,1403.0,,51.0,12.0,12.0,390.0,,383.0,,,,96.0,11.0,75.0,8.0,2.0,,,,0.0,,,,
2020-05-06,DC,5461.0,847.0,2550.0,,73.0,14.0,10.0,,1124.0,843.0,1254.0,3083.0,1206.0,277.0,29.0,220.0,21.0,5.0,,,,2.0,0.0,21.0,256.0,0.0
2021-02-28,DC,40598.0,10492.0,19732.0,,882.0,84.0,80.0,,9077.0,251.0,8366.0,29462.0,2770.0,1017.0,105.0,760.0,119.0,14.0,,,,0.0,19.0,119.0,879.0,19.0
2020-04-15,DC,2197.0,411.0,1009.0,,31.0,7.0,2.0,300.0,,437.0,324.0,1340.0,533.0,72.0,8.0,54.0,8.0,2.0,,,,,,,,
2020-08-30,DC,13959.0,2969.0,7177.0,,216.0,33.0,38.0,,3264.0,262.0,3643.0,9041.0,1275.0,606.0,64.0,451.0,77.0,8.0,,,,6.0,0.0,77.0,529.0,0.0
2020-05-27,DC,8406.0,1293.0,3839.0,,104.0,24.0,20.0,,2051.0,1075.0,2138.0,4630.0,1638.0,445.0,50.0,335.0,49.0,7.0,,,,4.0,0.0,49.0,396.0,0.0
2021-01-24,DC,35301.0,8934.0,16886.0,,753.0,74.0,71.0,,8274.0,309.0,7548.0,24996.0,2757.0,872.0,94.0,643.0,110.0,11.0,,,,0.0,14.0,110.0,748.0,14.0
2020-10-21,DC,16498.0,3688.0,8217.0,,269.0,38.0,45.0,,4146.0,95.0,4116.0,10977.0,1405.0,642.0,67.0,480.0,81.0,8.0,,,,0.0,6.0,81.0,555.0,6.0
2020-09-27,DC,15250.0,3310.0,7716.0,,247.0,36.0,42.0,,3839.0,60.0,3853.0,10077.0,1320.0,624.0,67.0,465.0,78.0,8.0,,,,0.0,6.0,78.0,540.0,6.0
2020-05-20,DC,7551.0,1158.0,3521.0,,97.0,20.0,16.0,,1747.0,992.0,1812.0,4218.0,1521.0,407.0,44.0,313.0,41.0,7.0,,,,2.0,0.0,41.0,366.0,0.0
