Date,State,Cases_Total,Cases_White,Cases_Black,Cases_Latinx,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Ethnicity_Hispanic,Cases_Ethnicity_NonHispanic,Cases_Ethnicity_Unknown,Deaths_Total,Deaths_White,Deaths_Black,Deaths_Latinx,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown,White_Cases_per,Black_Cases_per,Latinx_Cases_per,Asian_Cases_per,Native_Cases_per,Pacific_Islander_Cases_per,White_Deaths_per,Black_Deaths_per,Latinx_Deaths_per,Asian_Deaths_per,Native_Deaths_per,Pacific_Islander_Deaths_per
2020-04-12,AK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-15,AK,293.0,133.0,4.0,,25.0,13.0,3.0,6.0,3.0,106.0,15.0,154.0,124.0,9.0,2.0,0.0,,2.0,2.0,1.0,0.0,0.0,2.0,0.0,5.0,4.0,0.4539249146757679,0.013651877133105802,,0.08532423208191127,0.04436860068259386,0.010238907849829351,0.2222222222222222,0.0,,0.2222222222222222,0.2222222222222222,0.1111111111111111
2020-04-19,AK,319.0,167.0,7.0,,33.0,14.0,4.0,10.0,5.0,79.0,21.0,195.0,,9.0,2.0,0.0,,2.0,2.0,1.0,0.0,0.0,2.0,0.0,5.0,4.0,0.5235109717868338,0.0219435736677116,,0.10344827586206896,0.0438871473354232,0.012539184952978056,0.2222222222222222,0.0,,0.2222222222222222,0.2222222222222222,0.1111111111111111
2020-04-22,AK,335.0,184.0,7.0,,37.0,18.0,6.0,10.0,7.0,66.0,22.0,218.0,,9.0,2.0,0.0,,2.0,2.0,1.0,0.0,0.0,2.0,0.0,6.0,3.0,0.5492537313432836,0.020895522388059702,,0.11044776119402985,0.05373134328358209,0.01791044776119403,0.2222222222222222,0.0,,0.2222222222222222,0.2222222222222222,0.1111111111111111
2020-04-26,AK,341.0,190.0,7.0,,41.0,18.0,6.0,0.0,9.0,70.0,25.0,232.0,,9.0,4.0,0.0,,2.0,2.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.5571847507331378,0.020527859237536656,,0.12023460410557185,0.05278592375366569,0.017595307917888565,0.4444444444444444,0.0,,0.2222222222222222,0.2222222222222222,0.1111111111111111
2020-04-29,AK,355.0,206.0,7.0,,43.0,19.0,8.0,10.0,9.0,53.0,25.0,232.0,,,,,,,,,,,,,,,0.5802816901408451,0.01971830985915493,,0.12112676056338029,0.05352112676056338,0.022535211267605635,,,,,,
2020-05-03,AK,368.0,216.0,8.0,,44.0,22.0,10.0,11.0,9.0,48.0,30.0,265.0,73.0,,,,,,,,,,,,,,0.5869565217391305,0.021739130434782608,,0.11956521739130435,0.059782608695652176,0.02717391304347826,,,,,,
2020-05-06,AK,372.0,225.0,9.0,,44.0,22.0,13.0,11.0,9.0,39.0,32.0,277.0,63.0,,,,,,,,,,,,,,0.6048387096774194,0.024193548387096774,,0.11827956989247312,0.05913978494623656,0.03494623655913978,,,,,,
2020-05-10,AK,379.0,238.0,9.0,,45.0,24.0,13.0,12.0,10.0,28.0,35.0,305.0,39.0,10.0,,,,,,,,,0.0,,,10.0,0.6279683377308707,0.023746701846965697,,0.11873350923482849,0.0633245382585752,0.03430079155672823,,,,,,
2020-05-13,AK,383.0,250.0,9.0,,45.0,24.0,13.0,14.0,12.0,16.0,37.0,324.0,22.0,10.0,,,,,,,,,0.0,,,10.0,0.6527415143603134,0.02349869451697128,,0.1174934725848564,0.06266318537859007,0.033942558746736295,,,,,,
2020-05-17,AK,396.0,257.0,9.0,,45.0,29.0,13.0,15.0,12.0,16.0,38.0,336.0,22.0,10.0,,,,,,,,,0.0,,,10.0,0.648989898989899,0.022727272727272728,,0.11363636363636363,0.07323232323232323,0.03282828282828283,,,,,,
