Date,State,Cases_Total,Cases_White,Cases_Black,Cases_Latinx,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Ethnicity_Hispanic,Cases_Ethnicity_NonHispanic,Cases_Ethnicity_Unknown,Deaths_Total,Deaths_White,Deaths_Black,Deaths_Latinx,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown,White_Cases_per,Black_Cases_per,Latinx_Cases_per,Asian_Cases_per,Native_Cases_per,Pacific_Islander_Cases_per,White_Deaths_per,Black_Deaths_per,Latinx_Deaths_per,Asian_Deaths_per,Native_Deaths_per,Pacific_Islander_Deaths_per,Total_Population,White,White_per,Black,Black_per,Native_American_or_Alaskan_Native,Native_American_or_Alaskan_Native_per,Asian,Asian_per,Pacific_Islander,Pacific_Islander_per,Other,Other_per,Mixed,Mixed_per,Latinx,Latinx_per
2021-03-07,SD,113589.0,84776.0,2519.0,4145.0,1468.0,13518.0,,,1662.0,5501.0,4145.0,103943.0,5501.0,1900.0,1499.0,7.0,23.0,16.0,265.0,,,14.0,76.0,23.0,1801.0,76.0,0.7463398744596748,0.0221764431415013,0.0364912095361346,0.0129237866342691,0.1190080025354567,,0.7889473684210526,0.0036842105263157,0.0121052631578947,0.0084210526315789,0.1394736842105263,,"886,667","705,583",0.7958,"17,441",0.0197,"74,595",0.0841,"13,332",0.015,493,0.0006,"2,050",0.0023,"34,432",0.0388,"38,741",0.0437
2021-03-07,TN,783484.0,489782.0,102220.0,,6937.0,1032.0,564.0,,61751.0,121198.0,48832.0,522046.0,212606.0,11547.0,8730.0,1994.0,,67.0,9.0,6.0,,385.0,356.0,303.0,10314.0,930.0,0.6251333786012222,0.1304685226501115,,0.0088540416907045,0.0013171934589602,0.0007198615415247,0.7560405300077943,0.1726855460292716,,0.0058023729107127,0.0007794232268121,0.0005196154845414,"6,910,246","4,900,246",0.7091,"1,083,772",0.1568,"15,539",0.0022,"134,302",0.0194,"3,594",0.0005,"23,977",0.0034999999999999,"270,223",0.0391,"479,187",0.0693
2021-03-07,TX,2686818.0,25581.0,12672.0,27728.0,933.0,,,,428.0,2619476.0,27728.0,39614.0,2619476.0,44451.0,18276.0,4252.0,20453.0,898.0,,,,231.0,341.0,20453.0,23657.0,341.0,0.009520927729381,0.0047163596492207,0.0103200142324489,0.0003472509116732,,,0.4111493554700681,0.0956558907561134,0.4601246316168365,0.0202020202020202,,,"29,145,505","11,584,597",0.3975,"3,444,712",0.1182,"85,425",0.0029,"1,561,518",0.0536,"27,857",0.001,"113,584",0.0039,"886,095",0.0304,"11,441,717",0.3926
2021-03-07,UT,374850.0,238411.0,5001.0,77215.0,7107.0,5016.0,8931.0,,26238.0,34321.0,77215.0,263314.0,34321.0,1976.0,1329.0,18.0,282.0,59.0,72.0,57.0,,119.0,119.0,282.0,1575.0,119.0,0.6360170734960651,0.0133413365346138,0.2059890622915833,0.0189595838335334,0.0133813525410164,0.0238255302120848,0.6725708502024291,0.0091093117408906,0.1427125506072874,0.0298582995951417,0.0364372469635627,0.0288461538461538,"3,271,616","2,465,355",0.7536,"37,192",0.0113999999999999,"28,690",0.0088,"78,618",0.024,"35,831",0.011,"12,566",0.0038,"120,452",0.0368,"492,912",0.1507
2021-03-07,VA,585700.0,235269.0,99166.0,76875.0,19984.0,756.0,,5823.0,15947.0,131880.0,76875.0,376945.0,131880.0,9596.0,6002.0,2262.0,640.0,337.0,24.0,,62.0,66.0,203.0,640.0,8753.0,203.0,0.4016885777701895,0.1693119344374253,0.1312532012975926,0.0341198565818678,0.001290763189346,,0.6254689453939142,0.2357232180075031,0.066694456023343,0.0351187994997915,0.0025010421008753,,"8,631,393","5,058,363",0.586,"1,578,090",0.1828,"19,080",0.0022,"610,612",0.0707,"6,195",0.0007,"45,394",0.0053,"404,910",0.0469,"908,749",0.1052999999999999
2021-03-07,VI,2714.0,,,,,,,,,2714.0,,,2714.0,25.0,,,,,,,,,25.0,,,25.0,,,,,,,,,,,,,"87,146","11,036",0.1266,"55,936",0.6419,,0.0,,0.0,,0.0,"1,750",0.0200999999999999,"2,349",0.027,"16,075",0.1845
2021-03-07,VT,16083.0,12735.0,613.0,,746.0,20.0,,,414.0,1555.0,368.0,13160.0,2555.0,208.0,185.0,2.0,,5.0,1.0,,,2.0,13.0,0.0,179.0,29.0,0.7918298824846111,0.0381147795809239,,0.0463843810234409,0.0012435490891002,,0.8894230769230769,0.0096153846153846,,0.0240384615384615,0.0048076923076923,,"643,077","573,201",0.8913,"8,649",0.0134,"1,986",0.0031,"11,457",0.0178,170,0.0003,"2,561",0.004,"29,549",0.0458999999999999,"15,504",0.0241
2021-03-07,WA,344532.0,96572.0,10932.0,62537.0,12525.0,3231.0,3691.0,5823.0,3133.0,146088.0,62537.0,135907.0,146088.0,5041.0,3571.0,161.0,596.0,383.0,107.0,81.0,59.0,71.0,12.0,596.0,4433.0,12.0,0.2802990723648311,0.0317299989551043,0.1815128928517525,0.0363536623593744,0.0093779387691128,0.0107130832549661,0.7083911922237651,0.0319381075183495,0.1182305098194802,0.0759769886927197,0.0212259472326919,0.0160682404284864,"7,705,281","4,918,820",0.6384000000000001,"296,170",0.0384,"91,191",0.0118,"723,062",0.0938,"62,490",0.0081,"43,221",0.0056,"511,114",0.0663,"1,059,213",0.1375
2021-03-07,WI,621654.0,481041.0,40549.0,,15553.0,7580.0,,,34002.0,42929.0,63651.0,470050.0,87953.0,7106.0,6144.0,478.0,,127.0,97.0,,,106.0,154.0,389.0,6404.0,313.0,0.7738082599002017,0.0652276024927049,,0.0250187403282211,0.0121932779327407,,0.8646214466647903,0.0672670982268505,,0.0178722206585983,0.0136504362510554,,"5,893,718","4,634,018",0.7863,"366,508",0.0622,"48,384",0.0081999999999999,"174,267",0.0296,"1,892",0.0003,"17,613",0.003,"203,746",0.0346,"447,290",0.0759
2021-03-07,WV,133445.0,111202.0,4623.0,,,,,,3092.0,14528.0,,,133445.0,2325.0,2049.0,57.0,,,,,,34.0,185.0,,,2325.0,0.8333170969313201,0.0346434860804076,,,,,0.8812903225806452,0.024516129032258,,,,,"1,793,716","1,598,834",0.8914,"64,749",0.0361,"3,187",0.0018,"14,903",0.0083,429,0.0002,"4,652",0.0026,"72,135",0.0401999999999999,"34,827",0.0194
2021-03-07,WY,54764.0,28117.0,425.0,4134.0,281.0,2250.0,134.0,,1726.0,21292.0,4134.0,32933.0,21292.0,682.0,606.0,2.0,58.0,6.0,51.0,1.0,,8.0,11.0,58.0,613.0,11.0,0.5134212256226718,0.0077605726389599,0.0754875465634358,0.0051311080271711,0.0410853845591994,0.0024468629026367,0.8885630498533724,0.002932551319648,0.0850439882697947,0.0087976539589442,0.0747800586510264,0.001466275659824,"576,851","469,664",0.8142,"4,735",0.0081999999999999,"11,781",0.0204,"5,037",0.0087,489,0.0008,"2,425",0.0042,"23,674",0.0409999999999999,"59,046",0.1024
